DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
04M610,Middle/High,Young Women's Leadership School,69%,100%,95%,97%,92%,90%,72%,87%,94%,87%,86%,96%
04M680,High School,"Heritage School, The",31%,75%,90%,90%,86%,84%,76%,73%,87%,85%,69%,90%
04M825,Middle School,Isaac Newton Middle School for Math & Science,24%,100%,86%,87%,84%,84%,80%,85%,92%,86%,85%,88%
04M964,Elementary School,Central Park East II,74%,73%,N/A,98%,98%,95%,94%,97%,97%,95%,N/A,98%
05M030,Elementary School,P.S. 030 Hernandez/Hughes,67%,91%,N/A,91%,83%,94%,88%,92%,92%,92%,N/A,90%
05M036,Elementary School,P.S. 036 Margaret Douglas,45%,51%,N/A,81%,72%,90%,82%,83%,87%,89%,N/A,81%
05M046,Elementary/Middle,P.S. 046 Arthur Tappan,69%,94%,95%,89%,81%,91%,80%,85%,90%,89%,83%,89%
05M092,Elementary School,P.S. 092 Mary McLeod Bethune,100%,76%,N/A,88%,78%,87%,86%,91%,90%,94%,N/A,86%
05M123,Elementary/Middle,P.S. 123 Mahalia Jackson,31%,54%,60%,72%,65%,83%,82%,84%,81%,90%,83%,71%
05M125,Elementary School,P.S. 125 Ralph Bunche,54%,84%,N/A,90%,92%,83%,89%,96%,95%,94%,N/A,91%
05M129,Elementary/Middle,P.S. 129 John H. Finley,14%,55%,82%,91%,76%,90%,81%,82%,89%,87%,80%,89%
05M133,Elementary School,P.S. 133 Fred R Moore,63%,45%,N/A,73%,47%,84%,76%,76%,77%,85%,N/A,67%
05M148,Middle School,Eagle Academy for Young Men of Harlem,53%,91%,70%,91%,91%,92%,82%,83%,90%,91%,83%,90%
05M154,Elementary School,P.S. 154 Harriet Tubman,52%,96%,N/A,87%,79%,91%,82%,93%,85%,86%,N/A,87%
05M157,High School,The Urban Assembly School for Global Commerce,89%,93%,89%,96%,93%,84%,88%,82%,94%,94%,80%,94%
05M161,Elementary/Middle,P.S. 161 Pedro Albizu Campos,40%,91%,93%,89%,79%,89%,86%,85%,90%,91%,84%,87%
05M175,Elementary School,P.S. 175 Henry H Garnet,74%,84%,N/A,92%,78%,93%,84%,91%,87%,88%,N/A,87%
05M194,Elementary School,P.S. 194 Countee Cullen,97%,64%,N/A,73%,49%,91%,87%,94%,67%,82%,N/A,76%
05M197,Elementary School,P.S. 197 John B. Russwurm,51%,78%,N/A,92%,92%,94%,92%,92%,95%,95%,N/A,93%
05M200,Elementary School,P.S. 200- The James Mccune Smith School,43%,77%,N/A,88%,81%,83%,85%,89%,92%,89%,N/A,87%
05M285,Transfer High School,Harlem Renaissance High School,24%,100%,45%,81%,63%,86%,66%,85%,85%,87%,87%,74%
05M286,Middle School,I.S. M286 Renaissance Leadership Academy,63%,75%,95%,86%,76%,92%,78%,90%,86%,87%,91%,83%
05M302,Middle School,KAPPA IV,60%,81%,88%,81%,69%,77%,83%,81%,84%,91%,79%,76%
05M304,High School,Mott Hall High School,82%,92%,98%,81%,72%,78%,83%,81%,85%,91%,80%,77%
05M318,Elementary School,Thurgood Marshall Academy Lower School,72%,100%,N/A,91%,84%,97%,93%,89%,92%,97%,N/A,88%
05M362,Middle/High,Columbia Secondary School,36%,46%,75%,92%,90%,87%,84%,88%,93%,93%,85%,92%
05M367,Middle/High,Academy for Social Action: A College Board School,20%,83%,63%,94%,88%,85%,81%,74%,89%,85%,71%,94%
05M369,High School,Urban Assembly School for the Performing Arts,28%,92%,67%,87%,86%,80%,72%,83%,90%,85%,81%,87%
05M410,Middle School,The Urban Assembly Institute for New Technologies,41%,87%,96%,94%,94%,86%,86%,81%,94%,93%,79%,94%
05M469,Middle/High,Choir Academy of Harlem,10%,62%,78%,88%,89%,81%,91%,79%,93%,96%,76%,87%
05M499,Middle/High,Frederick Douglass Academy,6%,57%,64%,86%,75%,89%,78%,79%,85%,83%,78%,85%
05M514,Middle School,New Design Middle School,26%,81%,69%,79%,75%,83%,78%,81%,87%,90%,78%,80%
05M517,Early Childhood,Teachers College Community School,84%,100%,N/A,99%,97%,98%,94%,99%,99%,97%,N/A,99%
05M670,Middle/High,Thurgood Marshall Academy for Learning and Social Change,27%,63%,82%,90%,82%,79%,74%,79%,91%,87%,76%,88%
05M685,High School,Bread & Roses Integrated Arts High School,20%,85%,90%,85%,81%,88%,87%,81%,88%,96%,77%,85%
05M692,High School,"High School for Mathematics, Science and Engineering at City College",34%,88%,87%,90%,89%,93%,75%,90%,90%,89%,86%,91%
06M004,Elementary School,P.S. 004 Duke Ellington,47%,68%,N/A,84%,74%,91%,82%,87%,88%,91%,N/A,82%
06M005,Elementary School,P.S. 005 Ellen Lurie,74%,85%,N/A,86%,68%,89%,86%,90%,89%,93%,N/A,82%
06M008,Elementary School,P.S. 008 Luis Belliard,89%,95%,N/A,86%,82%,91%,89%,85%,91%,96%,N/A,85%
06M018,Elementary/Middle,P.S. 018 Park Terrace,87%,100%,100%,87%,79%,92%,85%,86%,90%,93%,85%,86%
06M028,Elementary School,P.S. 028 Wright Brothers,88%,100%,N/A,96%,87%,96%,85%,96%,95%,91%,N/A,95%
06M048,Elementary School,P.S. 048 P.O. Michael J. Buczek,55%,65%,N/A,88%,83%,86%,84%,89%,94%,94%,N/A,86%
06M052,Middle School,J.H.S. 052 Inwood,38%,92%,95%,91%,85%,85%,91%,83%,90%,96%,81%,88%
06M098,Elementary School,P.S. 098 Shorac Kappock,37%,80%,N/A,74%,69%,85%,86%,87%,84%,96%,N/A,75%
06M103,Early Childhood,Dos Puentes Elementary School,82%,100%,N/A,100%,100%,98%,95%,100%,99%,98%,N/A,100%
06M115,Elementary School,P.S. 115 Alexander Humboldt,60%,93%,N/A,88%,72%,93%,84%,94%,89%,93%,N/A,85%
06M128,Elementary School,P.S. 128 Audubon,46%,79%,N/A,93%,89%,92%,89%,94%,94%,96%,N/A,92%
06M132,Elementary School,P.S. 132 Juan Pablo Duarte,69%,93%,N/A,80%,72%,87%,85%,90%,84%,93%,N/A,80%
06M143,Middle School,J.H.S. 143 Eleanor Roosevelt,82%,100%,95%,83%,78%,82%,76%,81%,86%,83%,80%,84%
06M152,Elementary School,P.S. 152 Dyckman Valley,76%,65%,N/A,87%,79%,91%,84%,89%,88%,94%,N/A,85%
06M153,Elementary School,P.S. 153 Adam Clayton Powell,70%,63%,N/A,86%,82%,96%,87%,95%,86%,93%,N/A,87%
06M173,Elementary School,P.S. 173,72%,50%,N/A,76%,64%,90%,77%,87%,80%,91%,N/A,74%
06M178,Elementary School,Professor Juan Bosch Public School,100%,100%,N/A,97%,92%,96%,92%,95%,99%,97%,N/A,96%
06M187,Elementary/Middle,P.S./I.S. 187 Hudson Cliffs,46%,86%,96%,91%,82%,91%,90%,88%,89%,93%,84%,89%
06M189,Elementary School,P.S. 189,44%,79%,N/A,86%,80%,90%,85%,91%,89%,93%,N/A,85%
06M192,Elementary School,P.S. 192 Jacob H. Schiff,41%,85%,N/A,83%,69%,92%,88%,93%,82%,93%,N/A,81%
06M209,Middle School,Hamilton Grange Middle School,90%,100%,94%,78%,70%,73%,79%,79%,85%,94%,80%,72%
06M210,Elementary/Middle,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,84%,95%,97%,92%,83%,94%,86%,91%,91%,92%,89%,90%
06M211,High School,Inwood Early College for Health and Information Technologies,39%,100%,96%,92%,96%,91%,79%,89%,95%,89%,87%,95%
06M218,Middle School,I.S. 218 Salome Urena,73%,69%,91%,81%,75%,91%,84%,90%,89%,95%,89%,81%
06M223,Middle School,The Mott Hall School,71%,58%,100%,88%,80%,92%,73%,87%,90%,85%,85%,88%
06M278,Elementary/Middle,Paula Hedbavny School,89%,85%,97%,96%,90%,97%,86%,94%,96%,93%,94%,95%
06M293,Middle/High,City College Academy of the Arts,62%,93%,93%,79%,67%,85%,71%,88%,84%,84%,87%,79%
06M311,Elementary/Middle,Amistad Dual Language School,64%,70%,100%,89%,80%,86%,92%,86%,91%,94%,83%,87%
06M314,Elementary School,Muscota,60%,94%,N/A,96%,95%,99%,96%,97%,96%,96%,N/A,97%
06M319,Middle School,M.S. 319 - Maria Teresa,87%,94%,90%,92%,88%,94%,88%,92%,93%,95%,91%,92%
06M322,Middle School,Middle School 322,77%,100%,95%,83%,73%,80%,90%,86%,89%,97%,85%,79%
06M324,Middle School,M.S. 324 - Patria Mirabal,93%,92%,96%,95%,92%,93%,85%,91%,94%,93%,90%,94%
06M325,Elementary School,P.S. 325,75%,75%,N/A,88%,78%,88%,83%,93%,91%,92%,N/A,87%
06M326,Middle School,M.S. 326 - Writers Today & Leaders Tomorrow,70%,67%,93%,81%,72%,84%,76%,90%,89%,92%,92%,77%
06M328,Middle School,M.S. 328 - Manhattan Middle School for Scientific Inquiry,85%,100%,91%,87%,86%,91%,84%,88%,90%,95%,88%,87%
06M346,Middle/High,Community Health Academy of the Heights,68%,100%,89%,95%,91%,87%,80%,89%,95%,90%,88%,94%
06M348,Elementary/Middle/High,Washington Heights Expeditionary Learning School,42%,61%,78%,87%,76%,83%,79%,89%,92%,91%,89%,84%
06M349,Middle School,Harbor Heights,100%,92%,98%,93%,88%,85%,85%,89%,94%,90%,88%,92%
06M366,Elementary School,Washington Heights Academy,75%,94%,100%,89%,84%,95%,88%,92%,92%,95%,90%,90%
06M368,Elementary School,Hamilton Heights School,52%,69%,N/A,93%,88%,95%,93%,85%,92%,96%,N/A,89%
06M423,Transfer High School,High School for Excellence and Innovation,39%,100%,63%,87%,84%,86%,85%,87%,93%,93%,88%,86%
06M457,YABC,George Washington Yabc,25%,14%,69%,91%,86%,95%,77%,90%,96%,89%,91%,N/A
06M462,High School,The College Academy,26%,85%,73%,90%,81%,84%,78%,81%,90%,88%,79%,87%
06M463,High School,High School for Media and Communications,52%,74%,68%,78%,68%,76%,79%,81%,85%,91%,80%,74%
06M467,High School,High School for Law and Public Service,50%,65%,75%,86%,84%,87%,88%,81%,91%,94%,78%,87%
06M468,High School,High School for Health Careers and Sciences,90%,100%,89%,74%,67%,80%,89%,81%,83%,94%,80%,72%
06M513,Early Childhood,Castle Bridge School,55%,91%,N/A,99%,97%,95%,94%,96%,97%,95%,N/A,99%
06M528,Middle School,I.S. 528 Bea Fuller Rodgers School,67%,80%,98%,82%,78%,82%,85%,91%,91%,93%,90%,83%
06M540,High School,A. Philip Randolph Campus High School,5%,91%,14%,84%,81%,85%,76%,86%,88%,85%,86%,84%
06M552,High School,Gregorio Luperon High School for Science and Mathematics,49%,59%,85%,93%,91%,94%,82%,92%,96%,92%,91%,94%
07X001,Elementary School,P.S. 001 Courtlandt School,84%,75%,N/A,89%,78%,90%,83%,90%,91%,90%,N/A,87%
07X005,Elementary/Middle,PS 5 Port Morris,33%,76%,85%,87%,79%,90%,82%,81%,85%,88%,79%,86%
07X018,Elementary School,P.S. 018 John Peter Zenger,83%,89%,N/A,90%,82%,88%,83%,90%,93%,92%,N/A,89%
07X025,Elementary School,P.S. 025 Bilingual School,29%,71%,N/A,89%,80%,93%,82%,91%,90%,91%,N/A,88%
07X029,Elementary/Middle,P.S./M.S. 029 Melrose School,49%,92%,92%,91%,81%,90%,84%,92%,93%,89%,91%,90%
07X030,Elementary School,P.S. 030 Wilton,86%,69%,N/A,90%,84%,87%,90%,91%,91%,96%,N/A,88%
07X031,Elementary/Middle,P.S./M.S. 031 The William Lloyd Garrison,46%,92%,94%,86%,79%,86%,81%,85%,89%,88%,83%,86%
07X043,Elementary School,P.S. 043 Jonas Bronck,54%,93%,N/A,95%,84%,89%,86%,90%,96%,92%,N/A,92%
07X049,Elementary School,P.S. 049 Willis Avenue,54%,80%,N/A,83%,74%,87%,83%,81%,85%,91%,N/A,80%
07X065,Elementary School,P.S. 065 Mother Hale Academy,99%,100%,N/A,88%,82%,92%,84%,88%,91%,90%,N/A,88%
07X151,Middle School,J.H.S. 151 Lou Gehrig,65%,100%,93%,90%,78%,88%,80%,85%,90%,89%,83%,88%
07X154,Elementary School,P.S. 154 Jonathan D. Hyatt,49%,95%,N/A,95%,91%,93%,84%,92%,96%,92%,N/A,94%
07X157,Elementary School,P.S. 157 Grove Hill,46%,71%,N/A,91%,80%,92%,82%,93%,92%,92%,N/A,89%
07X161,Elementary School,P.S. 161 Ponce De Leon,62%,100%,N/A,87%,71%,90%,79%,91%,86%,90%,N/A,84%
07X162,Middle School,J.H.S. 162 Lola Rodriguez De Tio,61%,91%,98%,93%,88%,92%,82%,85%,93%,89%,84%,94%
07X179,Elementary School,P.S. 179,51%,85%,N/A,92%,83%,94%,85%,90%,96%,92%,N/A,91%
07X203,Middle School,M.S. 203,69%,55%,86%,82%,83%,90%,82%,86%,90%,90%,86%,85%
07X221,Middle/High,South Bronx Preparatory: A College Board School,45%,90%,87%,92%,87%,89%,74%,89%,91%,84%,88%,91%
07X223,Middle/High,M.S. 223 The Laboratory School of Finance and Technology,42%,83%,75%,76%,71%,84%,75%,85%,82%,90%,85%,74%
07X224,Middle School,P.S. / I.S. 224,39%,93%,87%,87%,80%,87%,79%,81%,88%,87%,81%,86%
07X259,High School,"H.E.R.O. High (Health, Education, and Research Occupations High School)",30%,100%,80%,89%,90%,83%,81%,75%,89%,90%,73%,88%
07X277,Elementary School,P.S. 277,56%,93%,N/A,90%,84%,90%,87%,89%,93%,93%,N/A,89%
07X296,Middle School,South Bronx Academy for Applied Media,23%,100%,94%,75%,71%,78%,71%,82%,83%,85%,82%,74%
07X298,Middle School,Academy of Public Relations,89%,100%,100%,92%,92%,82%,75%,75%,91%,86%,73%,91%
07X321,Transfer High School,Crotona Academy High School,62%,100%,96%,94%,90%,96%,97%,93%,94%,98%,92%,94%
07X334,High School,International Community High School,17%,100%,60%,96%,93%,90%,85%,88%,97%,94%,88%,95%
07X343,Middle School,Academy of Applied Mathematics and Technology,40%,100%,92%,88%,88%,90%,79%,87%,91%,90%,84%,90%
07X359,Early Childhood,Concourse Village Elementary School,96%,100%,N/A,100%,98%,100%,91%,99%,99%,95%,N/A,100%
07X369,Elementary School,Young Leaders Elementary School,70%,82%,N/A,86%,81%,75%,88%,83%,90%,94%,N/A,83%
07X379,Transfer High School,Jill Chaifetz Transfer High School,11%,100%,40%,95%,96%,89%,84%,91%,98%,97%,90%,94%
07X381,Transfer High School,Bronx Haven High School,22%,100%,78%,81%,78%,78%,72%,89%,88%,89%,89%,78%
07X385,Elementary School,Performance School,58%,53%,N/A,57%,37%,87%,82%,74%,71%,91%,N/A,57%
07X427,High School,Community School for Social Justice,55%,96%,92%,92%,93%,88%,87%,92%,96%,96%,92%,91%
07X456,YABC,Alfred E. Smith Campus YABC,53%,96%,80%,94%,87%,88%,64%,88%,95%,84%,87%,93%
07X473,High School,Mott Haven Village Preparatory High School,17%,100%,75%,79%,72%,80%,80%,85%,86%,92%,85%,75%
07X495,High School,University Heights Secondary School,75%,95%,91%,92%,89%,94%,80%,88%,92%,93%,85%,93%
07X500,Middle/High,Hostos-Lincoln Academy of Science,18%,52%,85%,79%,71%,83%,77%,76%,86%,87%,75%,79%
07X520,High School,Foreign Language Academy of Global Studies,35%,93%,81%,77%,69%,84%,69%,77%,81%,84%,75%,76%
07X522,High School,Bronx Design and Construction Academy,36%,61%,76%,94%,92%,86%,77%,82%,94%,89%,80%,94%
07X527,High School,Bronx Leadership Academy II High School,26%,79%,66%,87%,84%,71%,75%,89%,94%,88%,89%,84%
07X547,High School,New Explorers High School,17%,27%,52%,73%,84%,70%,77%,79%,83%,90%,77%,76%
07X548,High School,Urban Assembly School for Careers in Sports,34%,86%,72%,96%,93%,93%,72%,85%,94%,84%,83%,97%
07X551,Middle/High,The Urban Assembly Bronx Academy of Letters,24%,88%,74%,79%,72%,80%,77%,76%,83%,87%,76%,77%
07X557,Transfer High School,Mott Haven Community High School,45%,95%,60%,97%,92%,87%,81%,91%,95%,91%,90%,95%
07X600,High School,Alfred E. Smith Career and Technical Education High School,26%,43%,82%,77%,77%,85%,74%,75%,84%,87%,75%,78%
07X655,High School,Samuel Gompers Career and Technical Education High School,17%,23%,66%,86%,73%,82%,84%,74%,88%,85%,76%,N/A
07X670,High School,Health Opportunities High School,73%,97%,88%,87%,85%,85%,87%,84%,91%,93%,83%,86%
08X014,Elementary School,P.S. X014 Senator John Calandra,74%,91%,N/A,96%,91%,94%,84%,98%,97%,93%,N/A,96%
08X036,Elementary School,P.S. 036 Unionport,60%,89%,N/A,95%,86%,94%,87%,96%,96%,95%,N/A,93%
08X048,Elementary School,P.S. 048 Joseph R. Drake,38%,100%,N/A,84%,68%,88%,77%,86%,84%,84%,N/A,82%
08X062,Elementary School,P.S. 062 Inocensio Casanova,57%,100%,N/A,94%,86%,89%,85%,92%,95%,92%,N/A,92%
08X069,Elementary School,P.S. 069 Journey Prep School,56%,85%,N/A,86%,79%,94%,81%,92%,88%,93%,N/A,85%
08X071,Elementary/Middle,P.S. 071 Rose E. Scala,45%,87%,99%,93%,91%,93%,79%,86%,93%,91%,83%,94%
08X072,Elementary School,P.S. 072 Dr. William Dorney,45%,98%,N/A,87%,79%,91%,83%,89%,91%,91%,N/A,86%
08X075,Elementary School,P.S. 75 School of Research and Discovery,68%,100%,N/A,92%,83%,93%,80%,91%,93%,87%,N/A,91%
08X093,Elementary School,P.S. 093 Albert G. Oliver,91%,51%,N/A,95%,87%,96%,93%,95%,96%,95%,N/A,94%
08X100,Elementary School,P.S. 100 Isaac Clason,28%,74%,N/A,95%,91%,94%,82%,91%,95%,90%,N/A,94%
08X101,Middle School,M.S. X101 Edward R. Byrne,86%,97%,99%,86%,85%,89%,73%,88%,89%,88%,86%,87%
08X107,Elementary School,P.S. 107,80%,100%,N/A,93%,84%,95%,83%,92%,92%,90%,N/A,91%
08X119,Elementary School,P.S. 119,43%,64%,N/A,89%,83%,84%,86%,92%,94%,92%,N/A,88%
08X123,Middle School,J.H.S. 123 James M. Kieran,21%,64%,86%,64%,53%,67%,71%,78%,69%,84%,77%,58%
08X125,Middle School,J.H.S. 125 Henry Hudson,70%,100%,90%,86%,77%,89%,78%,84%,89%,92%,82%,85%
08X130,Elementary School,P.S. 130 Abram Stevens Hewitt,80%,93%,N/A,92%,85%,95%,86%,93%,95%,94%,N/A,91%
08X131,Middle School,J.H.S. 131 Albert Einstein,30%,94%,98%,90%,84%,79%,74%,78%,87%,83%,77%,88%
08X138,Elementary School,P.S. 138 Samuel Randall,40%,63%,N/A,97%,86%,94%,81%,92%,95%,88%,N/A,94%
08X140,Elementary School,P.S. X140 The Eagle School,33%,96%,N/A,82%,76%,88%,84%,87%,88%,90%,N/A,83%
08X146,Elementary School,P.S. 146 Edward Collins,50%,100%,N/A,90%,82%,95%,83%,92%,89%,89%,N/A,90%
08X152,Elementary School,P.S. 152 Evergreen,10%,52%,N/A,83%,73%,80%,83%,89%,85%,88%,N/A,80%
08X182,Elementary School,P.S. 182,21%,77%,N/A,75%,59%,85%,80%,82%,82%,88%,N/A,72%
08X269,Middle/High,Bronx Studio School for Writers and Artists,51%,74%,76%,84%,82%,81%,75%,79%,91%,87%,78%,86%
08X282,High School,Women's Academy of Excellence,18%,46%,65%,84%,78%,84%,66%,66%,81%,70%,64%,87%
08X293,High School,Renaissance High School for Musical Theater & Technology,31%,89%,72%,93%,92%,82%,68%,84%,93%,86%,83%,92%
08X295,High School,Gateway School for Environmental Research and Technology,22%,100%,85%,85%,86%,90%,85%,82%,90%,90%,79%,88%
08X301,Middle School,M.S. 301 Paul L. Dunbar,55%,100%,94%,89%,85%,84%,80%,87%,92%,90%,86%,88%
08X302,Middle School,M.S. 302 Luisa Dessus Cruz,81%,55%,93%,84%,76%,82%,77%,95%,92%,92%,96%,81%
08X304,Elementary School,P.S. 304 Early Childhood School,86%,100%,N/A,94%,86%,90%,90%,96%,98%,95%,N/A,93%
08X305,High School,Pablo Neruda Academy,46%,87%,82%,91%,90%,82%,75%,78%,93%,88%,77%,91%
08X312,High School,Millennium Art Academy,25%,88%,90%,86%,84%,85%,75%,81%,93%,89%,79%,87%
08X320,High School,Pelham Lab High School,34%,94%,94%,75%,77%,79%,77%,76%,84%,89%,75%,77%
08X332,High School,Holcombe L. Rucker School of Community Research,32%,83%,67%,94%,84%,85%,74%,84%,91%,84%,84%,90%
08X333,Elementary School,P.S. 333 - The Museum School,68%,91%,N/A,80%,62%,89%,78%,91%,85%,88%,N/A,79%
08X335,Elementary School,The Academy of the Arts,52%,76%,N/A,96%,95%,95%,86%,97%,98%,93%,N/A,97%
08X337,Middle School,The School for Inquiry and Social Justice,60%,100%,91%,97%,96%,97%,80%,86%,94%,91%,84%,98%
08X348,High School,Schuylerville Preparatory High School,62%,100%,90%,95%,95%,91%,76%,87%,96%,89%,88%,95%
08X349,High School,Bronx River High School,56%,100%,83%,90%,88%,93%,76%,81%,87%,88%,81%,91%
08X366,Middle School,Urban Assembly Academy of Civic Engagement,47%,74%,86%,94%,96%,89%,82%,81%,94%,92%,78%,95%
08X367,Middle/High,"Archimedes Academy for Math, Science and Technology Applications",19%,72%,83%,78%,66%,81%,71%,80%,83%,82%,80%,77%
08X371,Middle School,Urban Institute of Mathematics,49%,100%,95%,87%,82%,88%,76%,87%,87%,90%,86%,85%
08X375,Middle School,The Bronx Mathematics Preparatory School,73%,100%,95%,75%,65%,79%,76%,79%,81%,85%,79%,73%
08X376,Middle/High,Antonia Pantoja Preparatory Academy: A College Board School,32%,29%,73%,71%,61%,84%,74%,74%,85%,83%,73%,76%
08X377,Transfer High School,Bronx Community High School,6%,100%,53%,90%,84%,83%,75%,85%,92%,90%,84%,87%
08X392,Early Childhood,Bronx Delta School,74%,83%,N/A,98%,96%,91%,92%,100%,100%,97%,N/A,97%
08X405,High School,Herbert H. Lehman High School,12%,44%,56%,72%,58%,82%,70%,73%,78%,83%,71%,69%
08X408,YABC,Herbert H. Lehman Yabc,56%,53%,48%,99%,98%,96%,76%,92%,98%,94%,92%,98%
08X424,Middle School,The Hunts Point School,31%,68%,74%,74%,73%,83%,82%,83%,86%,94%,81%,74%
08X432,High School,BRONX BRIDGES HIGH SCHOOL,23%,85%,51%,80%,68%,80%,72%,82%,83%,86%,80%,76%
08X448,Middle School,Soundview Academy for Culture and Scholarship,35%,96%,97%,88%,81%,86%,84%,87%,90%,94%,86%,85%
08X452,High School,Bronx Guild,36%,96%,66%,94%,88%,87%,78%,80%,92%,88%,77%,93%
08X467,Middle School,Mott Hall Community School,58%,60%,94%,80%,57%,74%,78%,81%,81%,84%,79%,73%
08X507,YABC,Stevenson Yabc,29%,100%,71%,97%,96%,89%,74%,92%,99%,92%,92%,95%
08X519,High School,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",11%,92%,45%,82%,77%,80%,80%,71%,84%,88%,67%,82%
08X530,High School,Banana Kelly High School,17%,43%,61%,59%,47%,78%,70%,77%,65%,86%,76%,55%
08X537,Transfer High School,Bronx Arena High School,13%,76%,68%,96%,93%,91%,78%,91%,97%,93%,91%,95%
08X558,High School,Westchester Square Academy,27%,84%,83%,93%,94%,87%,78%,84%,93%,91%,81%,93%
08X559,High School,School for Tourism and Hospitality,23%,52%,81%,83%,81%,87%,80%,77%,91%,90%,74%,86%
08X561,High School,Bronx Compass High School,19%,96%,34%,89%,88%,83%,75%,86%,94%,91%,84%,89%
08X562,Middle School,Blueprint Middle School,18%,86%,78%,95%,93%,93%,79%,80%,91%,91%,78%,94%
08X650,High School,Jane Addams High School for Academic Careers,13%,69%,69%,84%,74%,87%,82%,83%,92%,91%,82%,84%
09X004,Elementary/Middle,P.S./M.S. 004 Crotona Park West,85%,91%,87%,77%,68%,85%,80%,89%,86%,90%,90%,75%
09X011,Elementary School,P.S. 011 Highbridge,45%,71%,N/A,94%,83%,95%,84%,92%,93%,90%,N/A,92%
09X022,Middle School,J.H.S. 022 Jordan L. Mott,79%,77%,90%,82%,76%,85%,77%,82%,88%,90%,82%,81%
09X028,Elementary School,P.S. 028 Mount Hope,93%,64%,N/A,80%,50%,90%,93%,89%,62%,73%,N/A,79%
09X035,Elementary School,P.S. 035 Franz Siegel,96%,59%,N/A,87%,76%,89%,81%,86%,92%,90%,N/A,85%
09X042,Elementary School,P.S. 042 Claremont,67%,98%,N/A,91%,88%,88%,90%,86%,93%,94%,N/A,89%
09X053,Elementary School,P.S. 053 Basheer Quisim,24%,89%,N/A,88%,81%,91%,80%,92%,88%,86%,N/A,88%
09X055,Elementary School,P.S. 055 Benjamin Franklin,28%,60%,N/A,78%,74%,86%,81%,83%,90%,89%,N/A,80%
09X058,Elementary School,P.S. 058,66%,98%,N/A,79%,69%,87%,79%,86%,80%,84%,N/A,79%
09X063,Elementary School,P.S. 063 Author's Academy,61%,100%,N/A,94%,88%,96%,86%,94%,95%,93%,N/A,93%
09X064,Elementary School,P.S. 064 Pura Belpre,62%,81%,N/A,87%,84%,95%,83%,84%,89%,87%,N/A,88%
09X070,Elementary School,P.S. 070 Max Schoenfeld,55%,81%,N/A,87%,82%,88%,82%,84%,90%,90%,N/A,86%
09X073,Elementary School,P.S. 073 Bronx,33%,97%,N/A,82%,68%,85%,83%,82%,83%,86%,N/A,79%
09X088,Early Childhood,P.S. X088 - S. Silverstein Little Sparrow School,23%,69%,N/A,89%,78%,95%,78%,95%,95%,92%,N/A,87%
09X109,Elementary School,P.S. 109 Sedgwick,68%,100%,N/A,69%,57%,79%,79%,73%,77%,90%,N/A,66%
09X110,Elementary School,P.S. 110 Theodore Schoenfeld,36%,68%,N/A,83%,68%,83%,82%,82%,86%,88%,N/A,79%
09X114,Elementary School,P.S. X114 - Luis Llorens Torres Schools,50%,45%,N/A,93%,86%,95%,83%,95%,93%,91%,N/A,92%
09X117,Middle School,I.S. 117 Joseph H. Wade,57%,96%,93%,70%,68%,77%,80%,80%,84%,91%,79%,71%
09X126,Elementary School,P.S. 126 Dr Marjorie H Dunbar,40%,70%,N/A,79%,70%,89%,79%,85%,79%,87%,N/A,78%
