DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
05M362,Columbia Secondary School,37%,55%,87%,79%,87%,87%,91%,72%,90%,92%,73%,85%
05M367,Academy For Social Action: A College Board School,3%,88%,45%,62%,60%,58%,70%,62%,77%,N/A,68%,62%
05M369,Urban Assembly School For The Performing Arts,28%,92%,50%,88%,95%,89%,80%,74%,92%,88%,73%,93%
05M410,The Urban Assembly Institute For New Technologies,15%,100%,93%,62%,77%,69%,82%,65%,79%,90%,65%,70%
05M469,Choir Academy Of Harlem,3%,89%,88%,77%,93%,87%,91%,69%,92%,N/A,71%,88%
05M499,Frederick Douglass Academy,13%,33%,57%,69%,73%,76%,76%,60%,82%,83%,65%,74%
05M514,New Design Middle School,16%,76%,87%,42%,56%,61%,78%,57%,74%,88%,60%,51%
05M517,Teachers College Community School,69%,94%,N/A,85%,87%,84%,94%,80%,91%,91%,N/A,86%
05M670,Thurgood Marshall Academy For Learning And Social Change,30%,49%,76%,76%,83%,77%,81%,65%,85%,87%,69%,79%
05M685,Bread & Roses Integrated Arts High School,48%,100%,90%,90%,95%,78%,89%,78%,91%,94%,79%,N/A
05M692,"High School For Mathematics, Science And Engineering At City College",30%,97%,80%,87%,93%,92%,87%,80%,89%,92%,79%,90%
06M004,P.S. 004 Duke Ellington,61%,80%,N/A,79%,84%,84%,87%,77%,90%,93%,N/A,81%
06M005,P.S. 005 Ellen Lurie,86%,86%,N/A,84%,87%,84%,90%,77%,91%,93%,N/A,84%
06M008,P.S. 008 Luis Belliard,87%,95%,N/A,79%,85%,83%,89%,71%,91%,95%,N/A,80%
06M018,P.S. 018 Park Terrace,77%,100%,99%,82%,85%,87%,91%,79%,91%,95%,81%,85%
06M028,P.S. 028 Wright Brothers,87%,100%,N/A,94%,96%,93%,90%,91%,96%,92%,N/A,94%
06M048,P.S. 048 P.O. Michael J. Buczek,44%,51%,N/A,78%,81%,81%,85%,81%,92%,91%,N/A,82%
06M052,J.H.S. 052 Inwood,50%,94%,98%,87%,92%,84%,88%,68%,88%,92%,68%,89%
06M098,P.S. 098 Shorac Kappock,66%,59%,N/A,66%,61%,60%,89%,70%,77%,95%,N/A,63%
06M103,Dos Puentes Elementary School,92%,100%,N/A,95%,98%,90%,95%,92%,97%,95%,N/A,94%
06M115,P.S. 115 Alexander Humboldt,60%,95%,N/A,89%,88%,92%,88%,87%,90%,92%,N/A,88%
06M128,P.S. 128 Audubon,41%,65%,N/A,86%,89%,85%,90%,81%,91%,93%,N/A,85%
06M132,P.S. 132 Juan Pablo Duarte,77%,90%,N/A,73%,75%,75%,86%,68%,81%,90%,N/A,71%
06M143,J.H.S. 143 Eleanor Roosevelt,61%,100%,94%,75%,80%,76%,82%,67%,84%,87%,69%,77%
06M152,P.S. 152 Dyckman Valley,92%,83%,N/A,83%,86%,84%,89%,82%,92%,95%,N/A,84%
06M153,P.S. 153 Adam Clayton Powell,84%,53%,N/A,85%,86%,89%,96%,81%,89%,97%,N/A,83%
06M173,P.S. 173,68%,100%,N/A,86%,92%,81%,89%,79%,94%,93%,N/A,86%
06M178,Professor Juan Bosch Public School,100%,100%,N/A,94%,94%,89%,96%,86%,96%,97%,N/A,91%
06M187,P.S./I.S. 187 Hudson Cliffs,44%,94%,96%,74%,84%,84%,94%,76%,85%,94%,76%,79%
06M189,P.S. 189,51%,86%,N/A,82%,87%,85%,92%,78%,90%,94%,N/A,83%
06M192,P.S. 192 Jacob H. Schiff,54%,84%,N/A,69%,63%,73%,89%,78%,73%,91%,N/A,69%
06M209,Hamilton Grange Middle School,87%,93%,99%,85%,94%,88%,94%,75%,93%,96%,78%,89%
06M210,P.S./I.S. 210 - Twenty-First Century Academy For Community Leadership,89%,97%,100%,88%,89%,86%,91%,80%,91%,94%,80%,89%
06M211,Inwood Early College For Health And Information Technologies,46%,73%,93%,80%,94%,89%,88%,77%,92%,94%,79%,87%
06M218,I.S. 218 Salome Urena,59%,50%,80%,75%,82%,87%,86%,77%,81%,90%,80%,78%
06M223,The Mott Hall School,77%,100%,99%,86%,93%,90%,86%,83%,94%,92%,84%,90%
06M278,Paula Hedbavny School,68%,100%,96%,89%,95%,92%,94%,87%,96%,95%,87%,93%
06M293,City College Academy Of The Arts,41%,74%,86%,64%,73%,71%,74%,73%,81%,86%,76%,69%
06M311,Amistad Dual Language School,67%,84%,100%,71%,72%,83%,91%,73%,82%,94%,76%,72%
06M314,Muscota,66%,94%,N/A,92%,97%,99%,96%,98%,95%,92%,N/A,98%
06M319,M.S. 319 - Maria Teresa,91%,80%,93%,85%,90%,89%,95%,90%,93%,97%,91%,88%
06M322,Middle School 322,85%,73%,97%,71%,76%,85%,93%,75%,82%,96%,77%,73%
06M324,M.S. 324 - Patria Mirabal,96%,100%,99%,92%,94%,92%,89%,86%,95%,94%,85%,93%
06M325,P.S. 325,73%,64%,N/A,76%,82%,81%,86%,68%,87%,91%,N/A,76%
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,72%,38%,87%,65%,77%,76%,82%,79%,87%,94%,80%,72%
06M328,M.S. 328 - Manhattan Middle School For Scientific Inquiry,84%,100%,92%,74%,87%,82%,91%,75%,90%,96%,76%,82%
06M346,Community Health Academy Of The Heights,54%,100%,87%,91%,95%,90%,89%,80%,94%,93%,82%,92%
06M348,Washington Heights Expeditionary Learning School,39%,75%,70%,77%,78%,80%,84%,79%,88%,91%,82%,76%
06M349,Harbor Heights,96%,100%,99%,86%,89%,83%,89%,80%,93%,95%,83%,85%
06M366,Washington Heights Academy,78%,81%,100%,83%,92%,91%,91%,79%,89%,92%,80%,88%
06M368,Hamilton Heights School,66%,94%,N/A,70%,55%,70%,96%,76%,75%,95%,N/A,65%
06M423,High School For Excellence And Innovation,58%,95%,73%,82%,87%,87%,93%,86%,92%,96%,90%,83%
06M457,George Washington Yabc,48%,77%,74%,95%,98%,93%,92%,86%,96%,95%,86%,96%
06M462,The College Academy,19%,96%,73%,76%,73%,78%,80%,65%,83%,87%,68%,75%
06M463,High School For Media And Communications,42%,71%,81%,71%,78%,78%,85%,69%,87%,93%,73%,76%
06M467,High School For Law And Public Service,46%,93%,78%,86%,93%,85%,91%,69%,91%,95%,70%,89%
06M468,High School For Health Careers And Sciences,81%,98%,93%,72%,73%,75%,92%,68%,84%,97%,71%,72%
06M513,Castle Bridge School,52%,88%,N/A,98%,98%,93%,97%,84%,97%,94%,N/A,94%
06M528,I.S. 528 Bea Fuller Rodgers School,74%,100%,100%,61%,68%,74%,89%,73%,84%,95%,75%,67%
06M540,A. Philip Randolph Campus High School,14%,79%,65%,81%,87%,80%,76%,65%,88%,86%,67%,84%
06M552,Gregorio Luperon High School For Science And Mathematics,36%,97%,63%,85%,85%,83%,81%,79%,88%,89%,80%,83%
07X001,P.S. 001 Courtlandt School,61%,69%,N/A,73%,75%,82%,88%,71%,79%,91%,N/A,74%
07X005,Ps 5 Port Morris,56%,96%,93%,81%,88%,85%,84%,73%,86%,89%,73%,86%
07X018,P.S. 018 John Peter Zenger,78%,69%,N/A,81%,79%,84%,90%,69%,89%,94%,N/A,78%
07X025,P.S. 025 Bilingual School,39%,70%,N/A,83%,86%,89%,88%,83%,88%,92%,N/A,85%
07X029,P.S./M.S. 029 Melrose School,49%,77%,94%,79%,84%,81%,86%,79%,87%,90%,82%,80%
07X030,P.S. 030 Wilton,82%,100%,N/A,84%,84%,85%,93%,76%,89%,95%,N/A,82%
07X031,P.S./M.S. 031 The William Lloyd Garrison,24%,78%,79%,69%,75%,75%,86%,63%,82%,90%,66%,73%
07X043,P.S. 043 Jonas Bronck,60%,95%,N/A,87%,88%,85%,90%,70%,93%,93%,N/A,83%
07X049,P.S. 049 Willis Avenue,54%,90%,N/A,69%,76%,79%,87%,66%,81%,90%,N/A,72%
07X065,P.S. 065 Mother Hale Academy,100%,98%,N/A,80%,84%,78%,91%,72%,88%,94%,N/A,79%
07X151,J.H.S. 151 Lou Gehrig,63%,100%,98%,84%,85%,80%,86%,77%,90%,90%,77%,86%
07X154,P.S. 154 Jonathan D. Hyatt,42%,100%,N/A,88%,90%,84%,85%,73%,89%,88%,N/A,85%
07X157,P.S. 157 Grove Hill,36%,57%,N/A,84%,82%,85%,89%,75%,90%,93%,N/A,81%
07X161,P.S. 161 Ponce De Leon,51%,96%,N/A,81%,82%,79%,86%,78%,83%,91%,N/A,79%
07X162,J.H.S. 162 Lola Rodriguez De Tio,52%,100%,94%,86%,87%,85%,80%,73%,88%,89%,73%,86%
07X179,P.S. 179,47%,65%,N/A,90%,91%,86%,91%,74%,97%,95%,N/A,87%
07X221,South Bronx Preparatory: A College Board School,74%,92%,96%,82%,90%,85%,79%,79%,87%,86%,81%,86%
07X223,M.S. 223 The Laboratory School Of Finance And Technology,48%,89%,90%,72%,78%,75%,82%,73%,83%,92%,78%,72%
07X224,P.S. / I.S. 224,76%,80%,96%,85%,94%,85%,94%,78%,92%,97%,78%,89%
07X259,"H.E.R.O. High (Health, Education, And Research Occupations High School)",28%,96%,70%,84%,86%,78%,78%,59%,86%,84%,62%,85%
07X277,P.S. 277,70%,97%,N/A,84%,92%,84%,90%,80%,93%,93%,N/A,86%
07X296,South Bronx Academy For Applied Media,33%,100%,92%,68%,69%,67%,80%,66%,78%,87%,68%,68%
07X298,Academy Of Public Relations,97%,94%,100%,68%,77%,70%,88%,69%,82%,95%,74%,67%
07X321,Crotona Academy High School,55%,90%,52%,82%,81%,80%,96%,61%,82%,96%,60%,81%
07X334,International Community High School,19%,90%,83%,82%,89%,84%,83%,77%,92%,92%,79%,85%
07X343,Academy Of Applied Mathematics And Technology,47%,100%,97%,91%,92%,90%,84%,83%,93%,91%,84%,92%
07X359,Concourse Village Elementary School,78%,97%,N/A,96%,96%,99%,90%,96%,96%,92%,N/A,97%
07X369,Young Leaders Elementary School,91%,97%,N/A,81%,91%,81%,90%,71%,95%,94%,N/A,82%
07X379,Jill Chaifetz Transfer High School,17%,87%,33%,94%,97%,84%,95%,80%,97%,99%,82%,93%
07X381,Bronx Haven High School,26%,77%,52%,77%,86%,84%,84%,82%,90%,91%,83%,82%
07X385,Performance School,98%,88%,N/A,76%,77%,73%,93%,71%,84%,97%,N/A,74%
07X427,Community School For Social Justice,34%,96%,88%,90%,92%,91%,92%,82%,96%,97%,83%,91%
07X456,Alfred E. Smith Campus Yabc,15%,96%,62%,90%,93%,91%,69%,78%,94%,83%,78%,94%
07X473,Mott Haven Village Preparatory High School,27%,81%,60%,64%,66%,69%,79%,68%,81%,91%,73%,63%
07X495,University Heights Secondary School,62%,90%,96%,87%,96%,92%,92%,79%,93%,97%,80%,92%
07X500,Hostos-Lincoln Academy Of Science,23%,68%,80%,72%,79%,80%,80%,65%,86%,88%,67%,80%
07X520,Foreign Language Academy Of Global Studies,45%,93%,82%,53%,62%,73%,87%,65%,71%,93%,70%,57%
07X522,Bronx Design And Construction Academy,26%,78%,64%,84%,90%,85%,83%,72%,89%,91%,75%,86%
07X527,Bronx Leadership Academy Ii High School,34%,71%,68%,60%,63%,74%,86%,72%,81%,95%,78%,59%
07X547,New Explorers High School,14%,72%,34%,56%,58%,58%,80%,49%,73%,88%,54%,56%
07X548,Urban Assembly School For Careers In Sports,5%,84%,56%,77%,88%,86%,75%,73%,89%,85%,76%,85%
07X551,The Urban Assembly Bronx Academy Of Letters,21%,100%,70%,85%,88%,77%,82%,66%,86%,90%,67%,85%
07X557,Mott Haven Community High School,38%,96%,73%,88%,92%,81%,83%,77%,91%,89%,80%,87%
07X600,Alfred E. Smith Career And Technical Education High School,34%,35%,76%,96%,97%,90%,83%,67%,93%,91%,67%,97%
07X670,Health Opportunities High School,81%,97%,86%,89%,93%,86%,90%,70%,91%,95%,71%,90%
08X014,P.S. X014 Senator John Calandra,60%,100%,N/A,94%,96%,94%,91%,90%,95%,94%,N/A,94%
08X036,P.S. 036 Unionport,71%,92%,N/A,93%,94%,90%,98%,82%,96%,99%,N/A,90%
08X048,P.S. 048 Joseph R. Drake,38%,99%,N/A,77%,78%,80%,81%,75%,83%,87%,N/A,77%
08X062,P.S. 062 Inocensio Casanova,57%,89%,N/A,88%,91%,85%,89%,78%,94%,93%,N/A,87%
08X069,P.S. 069 Journey Prep School,73%,81%,N/A,91%,89%,91%,89%,88%,93%,93%,N/A,90%
08X071,P.S. 071 Rose E. Scala,45%,77%,97%,85%,91%,87%,89%,75%,90%,92%,76%,88%
08X072,P.S. 072 Dr. William Dorney,51%,100%,N/A,92%,93%,90%,91%,88%,91%,93%,N/A,90%
08X075,P.S. 75 School Of Research And Discovery,60%,100%,N/A,79%,86%,79%,82%,68%,88%,87%,N/A,79%
08X093,P.S. 093 Albert G. Oliver,49%,36%,N/A,92%,93%,89%,91%,90%,91%,92%,N/A,91%
08X100,P.S. 100 Isaac Clason,22%,50%,N/A,96%,94%,92%,87%,89%,91%,88%,N/A,93%
08X101,M.S. X101 Edward R. Byrne,75%,94%,97%,74%,85%,84%,85%,78%,83%,91%,81%,78%
08X107,P.S. 107,90%,92%,N/A,83%,83%,82%,86%,82%,87%,91%,N/A,83%
08X119,P.S. 119,48%,61%,N/A,69%,71%,71%,90%,73%,83%,94%,N/A,71%
08X123,J.H.S. 123 James M. Kieran,35%,79%,95%,53%,69%,69%,83%,62%,77%,92%,68%,60%
08X125,J.H.S. 125 Henry Hudson,33%,57%,81%,78%,78%,87%,82%,69%,83%,89%,68%,81%
08X130,P.S. 130 Abram Stevens Hewitt,81%,88%,N/A,93%,96%,95%,91%,88%,97%,95%,N/A,93%
08X131,J.H.S. 131 Albert Einstein,41%,98%,97%,85%,91%,85%,81%,65%,87%,88%,65%,88%
08X138,P.S. 138 Samuel Randall,48%,60%,N/A,84%,78%,85%,88%,79%,87%,92%,N/A,81%
08X140,P.S. X140 The Eagle School,32%,74%,N/A,68%,72%,66%,85%,55%,81%,91%,N/A,65%
08X146,P.S. 146 Edward Collins,62%,83%,N/A,84%,85%,89%,88%,82%,88%,89%,N/A,85%
08X152,P.S. 152 Evergreen,15%,45%,N/A,84%,81%,88%,86%,83%,88%,93%,N/A,83%
08X182,P.S. 182,21%,65%,N/A,73%,71%,78%,86%,65%,81%,85%,N/A,72%
08X269,Bronx Studio School For Writers And Artists,41%,91%,76%,69%,74%,70%,82%,61%,87%,91%,67%,72%
08X282,Women'S Academy Of Excellence,38%,79%,76%,84%,81%,84%,68%,53%,79%,69%,53%,89%
08X293,Renaissance High School For Musical Theater & Technology,31%,90%,90%,85%,88%,77%,78%,68%,91%,90%,72%,84%
08X301,M.S. 301 Paul L. Dunbar,28%,94%,76%,69%,74%,64%,86%,65%,81%,89%,67%,69%
08X302,M.S. 302 Luisa Dessus Cruz,87%,88%,96%,75%,83%,84%,90%,73%,86%,95%,75%,79%
08X304,P.S. 304 Early Childhood School,68%,70%,N/A,90%,89%,89%,93%,85%,95%,94%,N/A,89%
08X305,Pablo Neruda Academy,44%,75%,84%,85%,95%,75%,86%,69%,94%,94%,70%,88%
08X312,Millennium Art Academy,21%,76%,83%,81%,84%,78%,86%,65%,89%,91%,67%,83%
08X320,Pelham Lab High School,27%,64%,82%,59%,75%,72%,84%,58%,79%,90%,63%,68%
08X332,Holcombe L. Rucker School Of Community Research,47%,95%,78%,76%,74%,76%,84%,67%,81%,92%,69%,73%
08X333,P.S. 333 - The Museum School,54%,73%,N/A,75%,75%,69%,90%,65%,89%,94%,N/A,73%
08X335,The Academy Of The Arts,53%,87%,N/A,87%,92%,86%,90%,83%,95%,95%,N/A,88%
08X337,The School For Inquiry And Social Justice,51%,91%,89%,92%,96%,94%,83%,73%,91%,91%,73%,95%
08X348,Schuylerville Preparatory High School,54%,95%,98%,81%,83%,83%,81%,69%,89%,88%,71%,85%
08X349,Bronx River High School,20%,96%,74%,64%,72%,74%,85%,63%,79%,92%,68%,68%
08X366,Urban Assembly Academy Of Civic Engagement,40%,100%,99%,70%,78%,75%,69%,64%,81%,77%,66%,76%
08X367,"Archimedes Academy For Math, Science And Technology Applications",11%,57%,58%,66%,62%,69%,77%,62%,77%,84%,66%,65%
08X371,Urban Institute Of Mathematics,58%,92%,100%,89%,92%,85%,85%,72%,87%,87%,71%,90%
08X375,The Bronx Mathematics Preparatory School,54%,92%,92%,57%,70%,71%,79%,67%,78%,86%,68%,68%
08X376,Antonia Pantoja Preparatory Academy: A College Board School,23%,92%,89%,74%,78%,73%,76%,63%,89%,85%,66%,79%
08X377,Bronx Community High School,8%,81%,73%,88%,96%,84%,85%,76%,95%,89%,78%,92%
08X392,Bronx Delta School,82%,100%,N/A,92%,93%,81%,96%,89%,98%,96%,N/A,91%
08X405,Herbert H. Lehman High School,11%,50%,65%,74%,68%,70%,76%,58%,82%,83%,61%,73%
08X408,Herbert H. Lehman Yabc,4%,53%,26%,97%,100%,94%,67%,80%,97%,90%,79%,98%
08X424,The Hunts Point School,22%,100%,85%,60%,68%,57%,77%,59%,78%,88%,62%,62%
08X432,Bronx Bridges High School,38%,96%,82%,73%,82%,77%,81%,73%,87%,92%,74%,77%
08X448,Soundview Academy For Culture And Scholarship,60%,96%,94%,82%,83%,87%,88%,76%,85%,96%,76%,81%
08X452,Bronx Guild,37%,96%,72%,90%,88%,80%,84%,67%,89%,90%,67%,89%
08X467,Mott Hall Community School,44%,80%,93%,72%,83%,81%,83%,70%,88%,90%,70%,81%
08X507,Stevenson Yabc,19%,77%,70%,91%,97%,90%,98%,82%,97%,100%,82%,94%
08X519,"Felisa Rincon De Gautier Institute For Law And Public Policy, The",3%,91%,30%,53%,54%,51%,51%,39%,72%,67%,46%,56%
08X530,Banana Kelly High School,39%,79%,72%,61%,72%,68%,83%,63%,78%,89%,66%,66%
08X537,Bronx Arena High School,12%,100%,38%,95%,96%,90%,86%,82%,95%,92%,82%,95%
08X558,Westchester Square Academy,17%,95%,90%,92%,96%,85%,84%,71%,93%,92%,72%,93%
08X559,School For Tourism And Hospitality,19%,50%,64%,83%,86%,76%,85%,65%,89%,95%,64%,84%
08X561,Bronx Compass High School,15%,68%,28%,65%,75%,73%,88%,72%,88%,97%,77%,69%
08X562,Blueprint Middle School,33%,73%,84%,86%,91%,88%,80%,74%,89%,88%,73%,89%
09X004,P.S./M.S. 004 Crotona Park West,90%,54%,90%,77%,82%,82%,84%,86%,88%,90%,91%,78%
09X011,P.S. 011 Highbridge,48%,62%,N/A,80%,77%,78%,88%,75%,83%,93%,N/A,76%
09X022,J.H.S. 022 Jordan L. Mott,82%,77%,88%,79%,85%,80%,90%,75%,88%,94%,76%,82%
09X028,P.S. 028 Mount Hope,38%,35%,N/A,73%,78%,82%,87%,81%,79%,91%,N/A,77%
09X035,P.S. 035 Franz Siegel,76%,42%,N/A,80%,85%,87%,86%,78%,91%,93%,N/A,83%
09X042,P.S. 042 Claremont,74%,100%,N/A,81%,91%,77%,90%,72%,92%,93%,N/A,82%
09X053,P.S. 053 Basheer Quisim,32%,80%,N/A,87%,86%,87%,81%,79%,86%,82%,N/A,86%
09X055,P.S. 055 Benjamin Franklin,46%,68%,N/A,74%,80%,76%,87%,70%,88%,92%,N/A,76%
09X058,P.S. 058,65%,81%,N/A,82%,76%,81%,85%,79%,84%,87%,N/A,80%
09X063,P.S. 063 Author'S Academy,64%,100%,N/A,87%,93%,91%,93%,80%,96%,97%,N/A,88%
09X064,P.S. 064 Pura Belpre,48%,81%,N/A,74%,87%,79%,83%,68%,87%,91%,N/A,76%
09X070,P.S. 070 Max Schoenfeld,49%,80%,N/A,78%,87%,80%,85%,70%,87%,91%,N/A,79%
09X073,P.S. 073 Bronx,36%,72%,N/A,76%,76%,74%,87%,65%,84%,90%,N/A,73%
09X088,P.S. X088 - S. Silverstein Little Sparrow School,25%,35%,N/A,77%,76%,74%,85%,79%,84%,94%,N/A,76%
09X109,P.S. 109 Sedgwick,57%,97%,N/A,68%,72%,70%,90%,63%,81%,92%,N/A,68%
09X110,P.S. 110 Theodore Schoenfeld,20%,57%,N/A,75%,80%,81%,89%,71%,85%,89%,N/A,77%
09X114,P.S. X114 - Luis Llorens Torres Schools,62%,72%,N/A,72%,72%,78%,83%,71%,80%,89%,N/A,72%
09X117,I.S. 117 Joseph H. Wade,59%,100%,91%,71%,80%,74%,85%,67%,84%,91%,69%,75%
09X126,P.S. 126 Dr Marjorie H Dunbar,43%,85%,N/A,70%,80%,76%,81%,68%,80%,88%,N/A,73%
09X128,Mott Hall Iii,73%,92%,98%,88%,92%,91%,90%,80%,93%,93%,82%,90%
09X132,P.S. 132 Garret A. Morgan,57%,66%,N/A,69%,69%,66%,79%,52%,73%,83%,N/A,64%
09X145,J.H.S. 145 Arturo Toscanini,19%,60%,79%,63%,61%,77%,82%,70%,81%,88%,74%,66%
09X163,P.S. 163 Arthur A. Schomburg,66%,66%,N/A,63%,70%,70%,86%,69%,77%,92%,N/A,67%
09X170,P.S. 170,94%,100%,N/A,99%,97%,96%,95%,95%,98%,97%,N/A,97%
09X199,P.S. 199X - The Shakespeare School,45%,63%,N/A,75%,80%,79%,87%,75%,84%,89%,N/A,77%
09X204,P.S. 204 Morris Heights,91%,100%,N/A,92%,92%,87%,92%,80%,92%,94%,N/A,87%
09X215,Kappa,88%,74%,99%,82%,88%,81%,85%,74%,89%,91%,75%,84%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,80%,95%,97%,74%,75%,74%,85%,75%,84%,92%,78%,73%
09X219,I.S. 219 New Venture School,42%,69%,96%,69%,75%,73%,83%,65%,79%,91%,69%,69%
09X227,Bronx Collegiate Academy,23%,96%,55%,90%,97%,88%,85%,74%,94%,91%,76%,93%
09X229,I.S. 229 Roland Patterson,83%,97%,97%,56%,64%,68%,85%,70%,76%,90%,74%,59%
09X230,P.S. 230 Dr Roland N. Patterson,42%,64%,N/A,91%,87%,92%,84%,79%,85%,87%,N/A,87%
09X231,Eagle Academy For Young Men,31%,72%,85%,65%,68%,70%,87%,63%,79%,91%,67%,67%
09X232,I.S. 232,75%,97%,90%,58%,67%,77%,82%,68%,78%,90%,73%,63%
09X236,P.S. 236 Langston Hughes,91%,93%,N/A,81%,86%,85%,91%,77%,88%,95%,N/A,81%
09X241,"Urban Assembly School For Applied Math And Science, The",51%,91%,80%,76%,82%,80%,80%,70%,87%,89%,72%,79%
09X250,Eximius College Preparatory Academy: A College Board School,38%,94%,95%,91%,93%,92%,91%,73%,91%,96%,75%,92%
09X252,Mott Hall Bronx High School,19%,74%,75%,78%,86%,83%,80%,71%,88%,90%,75%,80%
09X260,Bronx Center For Science And Mathematics,60%,93%,96%,89%,91%,84%,81%,75%,91%,89%,77%,88%
09X263,Validus Preparatory Academy: An Expeditionary Learning School,15%,63%,69%,82%,88%,74%,81%,63%,87%,88%,64%,84%
09X274,The New American Academy At Roberto Clemente State Park,45%,43%,N/A,92%,95%,87%,90%,75%,94%,93%,N/A,87%
09X276,Leadership Institute,19%,71%,73%,73%,73%,77%,91%,66%,85%,95%,70%,73%
09X294,The Walton Avenue School,77%,60%,N/A,93%,93%,92%,94%,85%,91%,96%,N/A,90%
09X297,Morris Academy For Collaborative Studies,22%,94%,70%,90%,95%,87%,88%,74%,92%,94%,74%,92%
09X303,I.S. X303 Leadership & Community Service,92%,100%,97%,93%,97%,91%,88%,81%,93%,92%,79%,96%
09X311,Lucero Elementary School,83%,100%,N/A,81%,81%,71%,88%,73%,86%,92%,N/A,77%
09X313,I.S. 313 School Of Leadership Development,55%,69%,86%,66%,64%,75%,76%,65%,75%,82%,68%,67%
09X323,Bronx Writing Academy,23%,90%,81%,72%,81%,74%,84%,67%,87%,93%,71%,75%
09X324,Bronx Early College Academy For Teaching & Learning,46%,100%,87%,92%,94%,87%,84%,71%,90%,88%,72%,94%
09X325,Urban Science Academy,85%,100%,86%,51%,69%,66%,92%,67%,78%,96%,72%,59%
09X327,Comprehensive Model School Project M.S. 327,40%,91%,93%,88%,94%,89%,83%,72%,91%,89%,74%,92%
09X328,New Millennium Business Academy Middle School,72%,88%,86%,89%,91%,87%,86%,79%,90%,89%,79%,91%
09X329,Dreamyard Preparatory School,46%,100%,91%,98%,99%,95%,88%,78%,93%,91%,78%,99%
09X339,I.S. 339,61%,43%,88%,78%,84%,81%,83%,67%,83%,88%,68%,82%
09X350,New Directions Secondary School,70%,100%,76%,61%,69%,67%,90%,80%,83%,95%,84%,63%
09X361,The Highbridge Green School,79%,100%,96%,87%,95%,84%,90%,78%,89%,94%,77%,89%
09X365,Academy For Language And Technology,90%,100%,99%,81%,87%,79%,79%,79%,87%,89%,80%,82%
09X403,Bronx International High School,66%,89%,88%,72%,66%,81%,80%,75%,79%,90%,78%,68%
09X404,School For Excellence,7%,100%,80%,75%,87%,79%,79%,65%,82%,86%,68%,81%
09X412,Bronx High School Of Business,23%,77%,91%,61%,64%,64%,81%,62%,75%,94%,65%,60%
09X413,Bronx High School For Medical Science,32%,100%,98%,77%,78%,75%,77%,69%,87%,88%,74%,77%
09X414,Jonathan Levin High School For Media And Communications,89%,100%,92%,85%,95%,83%,88%,72%,95%,96%,75%,90%
09X443,The Family School,64%,88%,N/A,75%,76%,75%,88%,75%,94%,94%,N/A,77%
09X449,Grant Avenue Elementary School,93%,92%,N/A,89%,93%,86%,93%,77%,93%,95%,N/A,87%
09X454,Science And Technology Academy: A Mott Hall School,66%,100%,95%,94%,95%,93%,86%,91%,95%,92%,91%,94%
09X457,Sheridan Academy For Young Leaders,76%,98%,N/A,74%,72%,76%,86%,67%,83%,90%,N/A,73%
09X505,"Bronx School For Law, Government And Justice",65%,72%,49%,70%,84%,84%,78%,68%,87%,89%,73%,77%
09X517,Frederick Douglass Academy Iii Secondary School,95%,86%,96%,81%,87%,84%,94%,73%,92%,98%,76%,84%
09X525,Bronx Leadership Academy High School,17%,77%,64%,63%,70%,66%,74%,58%,76%,85%,64%,64%
09X543,High School For Violin And Dance,15%,86%,76%,64%,75%,60%,80%,54%,84%,91%,60%,68%
09X555,Mount Eden Children'S Academy,79%,79%,N/A,93%,98%,94%,94%,92%,98%,96%,N/A,95%
09X564,Claremont International Hs,53%,89%,96%,88%,89%,78%,82%,82%,91%,93%,83%,84%
09X568,Young Women'S Leadership School Of The Bronx,53%,93%,96%,92%,98%,83%,90%,68%,91%,93%,68%,94%
10X003,P.S. 3 Raul Julia Micro Society,58%,70%,100%,93%,95%,95%,87%,81%,91%,91%,81%,94%
10X007,P.S. 007 Kingsbridge,79%,100%,N/A,89%,96%,92%,94%,91%,95%,98%,N/A,91%
10X008,P.S. 008 Issac Varian,35%,82%,N/A,86%,89%,85%,89%,81%,92%,91%,N/A,86%
10X009,P.S. 9 Ryer Avenue Elementary School,53%,95%,N/A,82%,79%,81%,86%,77%,85%,90%,N/A,80%
10X015,P.S. X015 Institute For Environmental Learning,61%,97%,99%,74%,83%,81%,86%,71%,87%,89%,71%,82%
10X020,"Ps/Ms 20 P.O.George J. Werdann, Iii",79%,55%,98%,64%,67%,75%,83%,66%,78%,87%,70%,67%
10X023,P.S. 023 The New Children'S School,34%,80%,N/A,92%,93%,86%,90%,78%,95%,94%,N/A,88%
10X024,P.S. 024 Spuyten Duyvil,33%,38%,N/A,60%,48%,56%,91%,71%,70%,86%,N/A,59%
10X032,P.S. 032 Belmont,69%,96%,N/A,89%,89%,89%,89%,81%,93%,92%,N/A,88%
10X033,P.S. 033 Timothy Dwight,50%,60%,N/A,70%,74%,77%,82%,69%,78%,86%,N/A,72%
